product_id,name,category,price,active
1,Produto 001,Moda,1397.54,True
2,Produto 002,Livros,188.4,True
3,Produto 003,Livros,184.48,False
4,Produto 004,Eletrônicos,140.69,True
5,Produto 005,Livros,990.22,False
6,Produto 006,Beleza,633.73,True
7,Produto 007,Esporte,1163.74,True
8,Produto 008,Beleza,1010.13,True
9,Produto 009,Brinquedos,507.12,False
10,Produto 010,Brinquedos,1348.57,True
11,Produto 011,Livros,1146.17,True
12,Produto 012,Beleza,413.1,True
13,Produto 013,Livros,552.65,True
14,Produto 014,Esporte,478.52,True
15,Produto 015,Moda,244.84,True
16,Produto 016,Moda,230.2,True
17,Produto 017,Casa,1404.83,True
18,Produto 018,Casa,662.48,True
19,Produto 019,Eletrônicos,581.15,True
20,Produto 020,Eletrônicos,1097.23,True
21,Produto 021,Beleza,833.96,True
22,Produto 022,Beleza,1404.85,False
23,Produto 023,Casa,1172.65,True
24,Produto 024,Esporte,724.26,True
25,Produto 025,Moda,570.78,True
26,Produto 026,Casa,1480.08,True
27,Produto 027,Esporte,1079.46,True
28,Produto 028,Esporte,1427.28,True
29,Produto 029,Beleza,186.53,True
30,Produto 030,Esporte,1277.3,False
31,Produto 031,Livros,959.24,True
32,Produto 032,Esporte,191.66,True
33,Produto 033,Beleza,886.5,True
34,Produto 034,Esporte,1032.28,True
35,Produto 035,Casa,28.33,True
36,Produto 036,Moda,686.93,True
37,Produto 037,Casa,1239.85,True
38,Produto 038,Esporte,450.08,True
39,Produto 039,Livros,693.24,False
40,Produto 040,Brinquedos,669.05,True
41,Produto 041,Moda,459.87,False
42,Produto 042,Brinquedos,1378.48,False
43,Produto 043,Livros,1174.13,True
44,Produto 044,Beleza,174.78,False
45,Produto 045,Livros,1495.58,True
46,Produto 046,Esporte,1320.01,False
47,Produto 047,Beleza,433.02,False
48,Produto 048,Beleza,1256.98,True
49,Produto 049,Brinquedos,168.57,False
50,Produto 050,Livros,1498.67,True
51,Produto 051,Beleza,1001.87,True
52,Produto 052,Moda,978.69,False
53,Produto 053,Casa,144.76,True
54,Produto 054,Livros,1346.58,True
55,Produto 055,Beleza,53.21,True
56,Produto 056,Beleza,368.83,False
57,Produto 057,Livros,223.1,True
58,Produto 058,Moda,1167.38,True
59,Produto 059,Eletrônicos,305.32,True
60,Produto 060,Esporte,1366.85,True
61,Produto 061,Casa,987.84,True
62,Produto 062,Livros,63.88,True
63,Produto 063,Eletrônicos,18.09,False
64,Produto 064,Casa,86.97,False
65,Produto 065,Moda,912.83,False
66,Produto 066,Moda,1204.21,True
67,Produto 067,Beleza,365.44,True
68,Produto 068,Brinquedos,1275.62,True
69,Produto 069,Brinquedos,95.28,True
70,Produto 070,Eletrônicos,1203.44,True
71,Produto 071,Brinquedos,1392.42,True
72,Produto 072,Moda,1160.44,True
73,Produto 073,Moda,1050.2,False
74,Produto 074,Eletrônicos,1258.59,True
75,Produto 075,Moda,69.83,True
76,Produto 076,Livros,310.66,False
77,Produto 077,Moda,196.14,False
78,Produto 078,Eletrônicos,761.75,True
79,Produto 079,Beleza,1120.33,True
80,Produto 080,Brinquedos,948.72,False
81,Produto 081,Livros,1278.19,False
82,Produto 082,Eletrônicos,241.27,False
83,Produto 083,Brinquedos,1104.59,True
84,Produto 084,Brinquedos,297.63,True
85,Produto 085,Casa,413.43,False
86,Produto 086,Livros,1067.76,True
87,Produto 087,Esporte,1470.51,True
88,Produto 088,Moda,921.2,True
89,Produto 089,Beleza,91.21,False
90,Produto 090,Livros,928.3,True
91,Produto 091,Brinquedos,73.1,True
92,Produto 092,Livros,1327.38,True
93,Produto 093,Brinquedos,1067.27,True
94,Produto 094,Brinquedos,267.96,False
95,Produto 095,Eletrônicos,146.66,True
96,Produto 096,Casa,283.46,False
97,Produto 097,Livros,1470.24,True
98,Produto 098,Moda,693.26,False
99,Produto 099,Eletrônicos,1178.28,True
100,Produto 100,Eletrônicos,958.25,True
101,Produto 101,Beleza,862.9,False
102,Produto 102,Moda,226.24,False
103,Produto 103,Casa,1419.58,True
104,Produto 104,Casa,459.0,False
105,Produto 105,Eletrônicos,871.25,False
106,Produto 106,Beleza,1052.67,True
107,Produto 107,Eletrônicos,977.36,False
108,Produto 108,Moda,1411.49,True
109,Produto 109,Beleza,231.17,True
110,Produto 110,Beleza,767.45,True
111,Produto 111,Moda,612.01,False
112,Produto 112,Beleza,716.51,True
113,Produto 113,Livros,187.63,False
114,Produto 114,Livros,209.8,True
115,Produto 115,Brinquedos,424.33,True
116,Produto 116,Livros,464.01,True
117,Produto 117,Beleza,647.58,False
118,Produto 118,Beleza,920.37,True
119,Produto 119,Casa,955.6,True
120,Produto 120,Moda,623.6,False
